accessionNo,boxNumber,title,placeOfPublication,publisher,dateOfPublication,descriptionContent,type,paper,abstract,keywords,,,,,
E2-0773AC,,"Science and Technology Post, Vol. XXV (2 copies) ",,,"Fourth Quarter 2007
October-November-December 2007","what's hot?
DOST Sec. Alabastro receives QC Gawad Parangal 
SEFA recognized as Outstanding Citizen of Quezon City 
Pinoys shine in computer implemented invention
Bomb disposal robot and e-load management system cited as outstanding inventions 
what's new?
Paper mill sludge for stronger, cheaper roads 
A solution to waste materials
dost news
DOST's golden anniversary year-long celebrations
DOST celebrates 50th anniversary, hosts ASEAN S&T week
Efforts to strengthen science and math education in the country intensifies
PCIERD mounts search for Best Industry and Energy R&D Consortium 
PCIERD's 7th Industry and Energy R&D Competitions
PCIERD is Outstanding Accounting Office again
Sustainable environment R&D high on NRCP list
feature news
NAST to hold 30th Annual Scientific Meeting
Presentation of the National Innovation Strategy (A speech by Sec. Estrella Alabastro)
EFA presents four-pronged national innovation strategy
Coconut pink and mahogany
PTRI's coconut and mahogany ensemble show off
Coconut pink
A new hue to dye!
Wanted : RP's earth-observing satellite
Time to orbit
A glance at STII Library
Discover a world of knowledge inside 
agri news
Region 10 agri officers now say biotechnology is good
Charcoal from bamboo and chicharon waste
E-learning program pushes ex-soldier to raise goats
Inventory of bees in Bicol region
From waste to soil conditioner 
enviro news
Ilocano farmers to benefit from improved mungbean lines
Samar town's abandoned mines have high pollutants 
health, food & nutrition
Get that iron verve
Meatless sausage
Eat right, lose weight
Make darag chicken meat a healthy dining habit 
Kahirapan, apektado ang kalusugan ng kabataan IP Philippines, Science journalists' group forge ties to raise IPR awareness ",,"what's hot?
DOST Sec. Alabastro receives QC Gawad Parangal
Pinoys shine in computer implemented invention by Dr. Billy Malang 
what's new?
Paper mill sludge for stronger, cheaper roads by Arlene Torres
dost news
DOST's golden anniversary year-long celebrations by Gecerein Sayen Ocampo
DOST celebrates 50th anniversary, hosts 8th ASEAN S&T Week by Gecerein Sayen Ocampo
Efforts to strengthen science and math education in the country intensifies by Aristotle P. Carandang
PCIERD mounts search for Best Industry and Energy R&D Consortium by Ma. Elena T. Tabangcura
PCIERD 7th industry and energy R&D competitions by Ma. Elena T. Tabangcura
PCIERD is outstanding accounting office again by Ma. Elena T. Tabangcura 
Sustainable environment R&D high on NRCP list by Jowi A. Carteciano
NAST to hold 30th Annual Scientific Meeting by Geceren Sayen Ocampo
feature
Presentation of the National Innovation Strategy and Launching of Innovation Program Initiatives by Sec. Estrella F. Alabastro 
Coconut pink and mahogany natural dyes brighten dress by Julius L. Leaño Jr. 
Coconut pink by Julius L. Leaño Jr. 
Textile dye from young coconut husks 
Wanted : RP's earth-observing satellite by Framelia V. Anonas 
agri news
Region 10 agri officers now say biotechnology is good by G.S. Fernando 
Charcoal from bamboo and chicharon waste by Rodolfo O. Ilao
E-learning program pushes ex-soldier to raise goats by Ofelia F. Domingo 
Inventories of bees in Bicol region by Ma. Rowena M. Baltazar 
From waste to soil conditioner 
Carbonized rice hull conditions soil, improves yield by Ofelia F. Domingo
enviro news
Ilocano farmers to benefit from improved mungbean lines by Josefina A. Atienza
Samar town's abandoned mines have high pollutants by Ma. Rowena M. Baltazar 
health, food & nutrition
Get that iron verve! by Imelda Angeles-Agdeppa, PhD
Meatless sausage by Maria Elena G. Fernandez
Eat right, lose weight by Catherine Rose P. Josue
Make darag chicken meat a healthy dining habit by Annie Lyn D. Bacani
Kahirapan, apektado ang kalusugan ng kabataan by Alexis M. Ortiz
IP Philippines, Science journalists' group forge ties to raise IPR awareness ",,,,,,,
E2-0774AC,,"Science and Technology Post, Vol. XXV (2 copies) ",,,"3rd Quarter 2007
July-August-September 2007","what's hot?
FPRDI studies win top STARRDEC R&D awards 
Researchers show their mettle in R&D 
what's new? 
Three more DOST laboratories get ISO/IEC 17025 accreditation
Congratulations to DOST Regional Offices I and VI and FPRDI
FPRDI invites public to visit new museum
Take a look at wood sample galore
e-Nutrition provides easy access to RP's nutrition data
A data on nutrition in just one click
FNRI training program to enhance F&N competitiveness
Now the trainings are open to the public
Metals, engineering, allied industries embrace cluster strategy
Clustering to improve core competitiveness of the country's metal industry
Local vacuum sealing equipment to benefit MSMEs
Take a look at this MIRDC developed vacuum sealing machine
Government-private group to develop electric transport vehicle 
Arriva, electric car! 
DOST news
NSTW 2007 : Celebrating innovation
A low-profile but meaningful occasion
Los Baños Science Community's 2007 National Science and Technology Week celebration
PCIERD helps seven DOST regional laboratories get ISO certification
Gearing up for global service standards
FNRI's mission against malnutrition
It's a tall order for a heavy job
FNRI electronic library
Better health and nutrition services through reliable ICT
FPRDI Deputy Director Alonzo retires
45 Solid years of public service
MIRDC completed 26 R&D projects in 2006
Feature
The Right Blend
How Sarah Dabucon found the right brew for the perfect aroma
Ecotourism could stem forest destruction, spur economic opportunities
PCARRD's Dr. Fernandez views this crisis as an opportunity to develop new strategies 
Special Report
How broadband technology is bridging some of RP's R&D gaps with the rest of the world
Production Guidebook sweetens muscovado's pull among affluent, health conscious foreign markets
Health, Food & Nutrition
Micronutrients for body and mind macrobenefits
All season, all reason fruit
Papaya's versatility makes it an all-time favorite
Best bite : Iron fortified chocolate cookies
Your fave much for health 
2007 Menu Guide Calendar : Year round guide to fortifying daily meals with micronutrients 
Here's to healthy meals everyday
How much water you need in a day
Kangkong delights
Meals basic for Healthy Body
DOST wants healthy workforce through ""Usapang K""
Events
School on the air on mudcrab culture holds graduation
Mushroom production training ",,"Editorial
Blink
what's hot?
FPRDI studies win top STARRDEC R&D awards by Arlene G. Torres
what's new?
Three more DOST laboratories get ISO/IEC 17025 accreditation
FPRDI invites public to visit new museum by Arlene G. Torres
e-Nutrition provides easy access to RP's nutrition data by Rhea C. Benavides-De Leon
FNRI training program to enhance F&N competitiveness by Maria Zorayda A. Torres, PhD
Metals, engineering, allied industries embrace cluster strategy by Dolores D. Duque
Local vacuum sealing equipment to benefit MSMEs by Teresita C. Villoso
Government-private group to develop electric transport vehicle by Ma. Elena Talingdan-Tabangcura
dost news
NSTW 2007 : Celebrating Innovation by Framelia V. Anonas 
Los Baños Science Community's 2007 National Science and Technology Week celebration
PCIERD helps seven DOST regional laboratories get ISO certification by Ma. Elena Talingdan-Tabangcura
FNRI's mission against malnutrition by Alexis M. Ortiz
FNRI electronic library by Annie Lyn D. Bacani
Better health and nutrition services through reliable ICT
FPRDI Deputy Director Alonzo retires by Arlene G. Torres
MIRDC completed 26 R&D projects in 2006
feature
The Right Blend by Dr. Paulina P. Nebrida and Rodel G. Offemaria 
Ecotourism could stem forest destruction, spur economic opportunities by Aristotle P. Carandang 
special report
How broadband technology is bridging some of RP's R&D gaps with the rest of the world 
Production guidebook sweetens muscovado's pull among affluent, health conscious foreign markets 
health, food & nutrition
Micronutrients for body and mind macrobenefits 
All season, all reason fruit by Catherine Rose P. Josue
Best bite : Iron fortified chocolate cookies by Czarina Teresita S. Martinez
2007 Menu Guide Calendar : Year round guide to fortifying daily meals with micronutrients by Marietta M. Bumanglag  
How much water do you need in a day? by Catherine Rose P. Josue
Kangkong delights
Meals basics for healthy body by Catherine Rose P. Josue
DOST wants healthy workforce through ""Usapang K""
Events
School-on-the-air on mudcrab culture holds graduation by Madel V. Ricafrente
Mushroom production training ",,,,,,,
E2-0775AC,,"Science and Technology Post, Vol. XXVI",,,"Third Quarter 2008
July-August-September 2008","what's new?
Government launches vehicle research and testing laboratory
FNRI develops healthier alternatives to wheat flour
RP hosts 2nd International Earth Science Olympiad 
what's cool?
Ilocos consortium gets top R&D prize
RP students clinch bronze in int'l math, physics olympiads
dost news
International partnerships help lift RP's S&T capability, human capital
Balik Scientists jazz up country's research system
PTRI silkworm genetic resources bolster silk industry in Luzon
SETUP assisted product chosen to join Euro export coaching program
DOST and PEZA open TBI
Eco-towns to rise in NCR, Region 4, and Camarines Sur
TAPI announces National Invention Contest 
feature
Nutritious and affordable substitutes for rice 
Check out other options that are equally filling and nutritious 
Meet Billy Malang : Prodigious Innoventor 
Get to know his caseloads of inventions
Unwrapping DOST-ITDI's Packaging Research and Development Center 
Discover the wonders of packaging technology
Charcoal is cool
How a hot item becomes cool
Superkalan, super fuel saver
Find out how this stove helps you save
nstw
Techno Fair 2008
Making Science Work for You
8th Asean S&T Week
RP's second round of hosting the prestigious event
Philippine natural fiber and dye ready to dress up high fashion
Local materials go haute couteur
Filipino physicist, Singaporean virologist win ASEAN Scientist and Technologist awards
Our own Dr. Saloma cited as Outstanding Scientist and Technologist 
Kabayan brings spotlight to S&T achievers VP de Castro toasts our awardees
Progress through S&T in 20 years 
GMA tracks S&T contributions
Speech of President Gloria Macapagal-Arroyo 
DOST honors outstanding technology adoptors 
Technology revved up their business
DOST fetes outstanding scholars
Education helped them shape a bright future 
Outstanding educators awarded
Commitment to S&T education helped them excel in their craft
Science communicators make the headline 
Newswriters became newsmakers ",,"Editorial
Downtown or hinterland?
what's new?
Government launches vehicle research and testing laboratory by Joy M. Lazcano
FNRI develops healthier alternatives to wheat flour by Gecerin Sayen Ocampo
RP hosts 2nd International Earth Science Olympiad by Mark Ivan C. Roblas
what's cool?
Ilocos consortium gets top R&D prize by Paulina P. Nebrida
RP students clinch bronze in int'l math, physics Olympiads by Mark Ivan C. Roblas 
dost news
International partnerships help lift RP's S&T capability, human capital by The International Technology Cooperation Unit Staff 
Balik Scientists jazz up country's research system by Framelia V. Anonas 
PTRI Silkworm genetic resources bolster silk industry in Luzon by Dr. Adelfa M. Basaen 
SETUP assisted product chosen to join Euro export coaching program by Joy M. Lazcano
DOST and PEZA open TBI by Geceren Sayen Ocampo
Eco-towns to rise in NCR, Region 4, and Camarines Sur
TAPI announces National Invention Contest by Gecerein Sayen C. Ocampo
feature
Nutritious and affordable substitutes for rice by Gecerein Sayen C. Ocampo
Meet Billy Malang : Prodigious Innoventor by Gecerein Sayen Ocampo
Unwrapping DOST-ITDI's Packaging Research & Development Center by Joy M. Lazcano 
Charcoal is cool! by Rizalina K. Araral
Superkalan, super fuel saver by Joy M. Lazcano 
nstw
Techno Fair 2008
national science & technology week 2008
8th ASEAN S&T Week by Gecerein Sayen C. Ocampo
Philippine natural fiber and dye ready to dress up high fashion by Rodel G. Offemaria 
Filipino physicist, Singaporean virologist win ASEAN Scientist and Technologist Awards by Framelia V. Anonas 
Kabayan brings spotlight to S&T achievers by Framelia V. Anonas and Gecerein Sayen C. Ocampo 
Progress through S&T in 20 years - GMA by Joy M. Lazcano 
Progress through S&T in 20 years : President Gloria Macapagal-Arroyo's speech during the opening ceremonies of the 8th ASEAN Science and Technology Week, and 50th National Science and Technology Week 
July 07, 2008
World Trade Center, Roxas Blvd., Pasay City 
DOST honors outstanding technology adoptors by Joy M. Lazcano 
DOST fetes outstanding scholars by Framelia V. Anonas 
Outstanding Educators awarded by Framelia V. Anonas 
Science communicators make the headline : Join DOST's 50 Men and Women of Science by Framelia V. Anonas ",,,,,,,
E2-0776AC,,"Science and Technology Post, Vol. XXIII",,,"Fourth Quarter 2006
October-November-December 2006","what's new?
Science, energy sectors kickstart integrated plan for biofuels 
With the passage of the Biofuels Act, the biofuels industry is ready to roll 
P 9.9 M coco coir project 
CARP-affected coconut farmers and growers now have livelihood prospects through this project 
Kiln for bamboo charcoal and industrial vinegar 
This kiln fuelled by bamboo processing wastes can create job opportunities in bamboo-growing areas 
Double sley handloom machine 
PTRI developed this machine that can weave two narrow fabrics simultaneously
TBI on natural dye 
special reports
Group B Streptococci
Find out how these innocent-sounding microorganisms cause sepsis that kills newborn babies 
Tropical and Sub-tropical fruits
PCARRD's Rita Fabro reports on the globalization, trend, and networking for R&D of tropical and sub-tropical fruits in Asia 
feature news
Lety's Buko Pie
This lip-smacking delicacy wins gold in Madrid for quality and innovation
Patenting in RP
How well does the country fare in IP and patenting matters?
RP's heat treatment industry
Old issues weigh down the industry
personalities
Dr. Johnny Abilay
Meet this US-based Balik Scientist who pledged to spend his remaining years in helping improve the dairy industry in the country
Retired and inspired
Dr. Lumen Puno desired to help develop science culture in her region. Read to find out what she did to help realize this dream.
Dr. Nuna Almanzor : ITDI's first woman director 
ITDI's spunky director is output-oriented
Dr. Lourdes J. Cruz is new National Scientist
Know more about her passion for S&T and compassion for the development of poor rural communities 
s&t community
Exotic balut gourmet 
Online test, analysis and calibration information system 
Muntinlupa's big waste management break
Interactive learning modules for science and math 
Disaster mitigation in the Philippines
Earthquake drills 
business
DOST IV boosts productivity of regional SMEs, industries 
Seakid is a big business treat
Warm start for iced tea
How Murasarap foods cooked up its way to success
health, food and nutrition
Filipino kids' height, weight improve, but becoming obese
Sunog-baga, nangungunang dahilan ng kanser sa Pilipinas
Praktikal at masustansyang baon para sa mga bata 
news in photo
Guimaras Revisited
A look at Guimaras after the August oil spill ",,"from the editor
Competitive intelligence
what's new?
Science, energy sectors kickstart integrated plan for biofuels by Aristotle P. Carandang
P9.9M project to raise coco coir livelihood in rural areas by Teresita C. Villoso
Hope shimmers for bamboo growing villages with new kiln by Rizalina K. Araral
Double sley handloom machine by Malu A. Flores
TBI on natural dye by Malu Flores
special report
GBS : out of sight, outrageous infant killer by Jowi A. Carteciano
Tropical and sub-tropical fruits : globalization, trend, and networking for research and development in Asia by Rita Fabro
feature
Lety's Buko Pie wins international quality award by Adelia M. Guevarra
Patent efforts in RP still inadequate by Framelia V. Anonas 
Old issues weigh down RP heat treatment industry by Dolores D. Duque, Rosalinda M. Cruz and Ma. Elena G. Gurimbao
s&t personalities 
Balik Scientist Johnny Abilay : Milking his knowledge to help beef up the country's livestock by Framelia V. Anonas 
Lumen Puno : Retired and inspired by DOST V
Dr. Nuna Almanzor : ITDI's plain-talking and first woman director by Rosario T. Genato and Framelia V. Anonas 
Dr. Lourdes Cruz joins elite National Scientist list by Aristotle P. Carandang
s&t community news
S&T-based mango and vegetable production by Lorelyn Poblete
PCARRD-Japanese researchers meet on biofuels status by Marissa A. Alumaga
DOST-DENR adopt Environmental Technology Verification Protocol by Rosario T. Genato 
Exotic balut gourmet by Engr. Alan Plete
Online test, analysis, and calibration information by Adelia Guevarra
Muntinlupa's big waste management break by Rodrigo Cortez, Jr. 
Interactive learning modules for Science and Math by Cynthia Gayya 
Disaster risk mitigation in the Philippines by Charmaine Q. Villanueva 
Earthquake drills by Charmaine Q. Villanueva
business
DOST IV boosts productivity of regional SMEs, industries by Adelia Guevarra
Seakid is a big business treat by Oscar Sevilla, Jr.
Warm start for iced tea by Rosalie Battung
How Murasarap Foods cooked up its way to success by Rosario T. Genato
health-food-nutrition
Filipino kids' height and weight improve, but they are growing obese by Framelia V. Anonas 
Sunog-baga, nangungunang dahilan ng kanser sa Pilipinas by Marie T. Bugas 
Praktikal at masustansiyang baon para sa mga bata by Ma. Idelia G. Glorioso 
Stained, sticky forest - Guimara revisited ",,,,,,,
E2-0777AC,,"Philippine Journal of Science, Vol. 140, no. 1 ",,,June 2011,"Expansion of the Philippine Autosomal Short Tandem Repeat Population Database for DNA-based Paternity Testing by Sheena Marie B. Maiquilla, Jazelyn M. Salvador, Gayvelline C. Calacal, Frederick C. Delfin, Kristina A. Tabbada, Henry B. Perdigon, Minerva S. Sagum, Miriam Ruth M. Dalet, and Corazon A. De Ungria
A Contribution to the Taxonomy of Mastogloia (Class Bacillariophyceae) in the Philippines by Milagros R. Martinez-Goss and Luisito T. Evangelista
Physico-Mechanical Properties and Durability of Thermally Modified Malapapaya [Polyscias nodosa (Blume) Seem.] Wood by Juanito P. Jimenez, Jr., Menandro N. Acda, Ramon A. Razal, and Ponciano S. Madamba
Influence of Castor Oil-Based Polyurethane on Physico-Chemical Properties of Calcium Silicate Cement by Eduardo R. Magdaluyo, Jr., Clodualdo M. Aranas, Jr., and Jovilyn D. Masiglat
Development of Floor Tiles from Philippine Bamboos by Marina A. Alipon, Edna B. Bauza, and Gilberto N. Sapin
Evolutionarily Significant Units of Gray-Sided Vole (Myodes rufocanus) in Hokkaido, Japan by Anna Pauline O. De Guia and Takashi Saitoh
The Effect of Egg Consumption on Lipid Profile Among Selected 30-60 Year-Old Filipino Adults by Celeste C. Tanchoco, Liza N. Infante, Marietta P. Rodriguez, Mina Grace C. Aquino, and Consuelo L. Orense
Selection of Arbuscular Mycorrhizal Inoculants for Improved Growth of Somatic Embryo-Derived Liriodendron tulipifera (Magnoliaceae) Plantlets by Nelly S. Aggangan, Yong-Wook Kim, Sim-Hee Han, So-Young Park, and Heung-Kyu Moon
Structural Characterization of Buri (Corypha utan Lam.) Petioles by Rosalie M. Calapis, Vivian C. Daracan, Stella Villa A. Castillo, Wilfredo M. Carandang, and Willie P. Abasolo
On Bravais Colorings Associated with Periodic and Non-Periodic Crystals by Ma. Louise Antonette N. De Las Peñas and Enrico Paolo C. Bugarin
Physico-Chemical and Microbiological Parameters in the Deterioration of Virgin Coconut Oil by Ian Ken D. Dimzon, Melodina F. Valde, Jacklyn Elizabeth R. Santos, Mark Joseph M. Garrovillas, Henson M. Dejarme, Jo Margarette W. Remollo and Fabian M. Dayrit
Short Communication
Proto-Ubiquitin : A Bayesian Prediction of an Ancient Protein During the Prokaryotic-Eukaryotic Transition by Custer C. Deocaris, Lovette F. Cunanan, Richelda A. Galapia and Marla A. Endriga ",Journal,"Expansion of the Philippine Autosomal Short Tandem Repeat Population Database for DNA-based Paternity Testing by Sheena Marie B. Maiquilla, Jazelyn M. Salvador, Gayvelline C. Calacal, Frederick C. Delfin, Kristina A. Tabbada, Henry B. Perdigon, Minerva S. Sagum, Miriam Ruth M. Dalet and Maria Corazon A. De Ungria ","Recent developments in forensic DNA technology have led to the expansion of the Philippine reference database of autosomal Short Tandem Repeat (aSTR) DNA markers currently being used by the DNA Analysis Laboratory, Naturla Sciences Research Institute of the University of the Philippines for DNA-based paternity testing. A total of 502 unrelated individuals from different regional centers of the Philippines were analyzed at 15 aSTR DNA markers, which include the 13 DNA markers that comprise the Combined DNA Identification System (CODIS) of the US Federal Bureau of Investigation (FBI). Population statistical parameters were calculated and determined. Expansion of the population database resulted in the detection of additional alleles of the markers included in the database, increased power of discrimination and power of paternity exclusion compared to a smaller-sized Philippine database (n=100) that was reported previously (De Ungria et al. 2005, Salvador et al. 2007). ","human DNA typing, paternity testing, Philippines database, population genetics ",,,,,
E2-0778AC,,,,,,,,A Contribution to the Taxonomy of Mastogloia (Class Bacillariophyceae) in the Philippines by Milagrosa R. Martinez-Goss and Luisito T. Evangelista  ,"Nine species of Mastogloia found on the brown seaweeds, Sargassum spp., in two study areas in the Philippines (Lian, Batangas and Plaridel, Quezon) are described. Mastogloia smithii Thw. ex W. Sm. is added to the list of new record for the country. ","Brown seaweed, Batangas, Epiphytic diatoms, Mastogloia, Partecta, Quezon, Sargassum",,,,,
E2-0779AC,,,,,,,,"Physico-Mechanical Properties and Durability of Thermally Modified Malapapaya [Polyscias nodosa (Blume) Seem.] Wood by Juanito P. Jimenez, Jr., Menandro N. Acda, Ramon A. Razal, and Ponciano S. Madamba ",The study investigated the use of thermal modification to improve physico-mechanical properties and decay resistance of Malapapaya [Polyscias nodosa (Blume) Seem.] wood. Results showed that wood properties were altered with exposure to high temperature and long treatment duration. Wood color changed from light yellowish brown to very dark brown with increasing treatment temperature. No defects due to heat treatments were observed. Treatments resulted in improved dimensional stability as indicated by the reduction in water absorption and thickness swelling of treated materials. Decay resistance against white rot [Fomes lividus (Kalchbr.) Sacc] and brown rot [Lenzites striata (Swartz ex Fries)] fungi improved significantly at the highest treatment combination of 220 degree celcius - 120 minutes. Mechanical properties as measured by modulus of rupture and toughness were significantly reduced.  ,"Decay fungi, Dimensional stability, Durability, Malapapaya, Physico-mechanical properties, Thermally modified wood ",,,,,
E2-0780AC,,,,,,,,"Influence of Castor Oil-Based Polyurethane on Physico-Chemical Properties of Calcium Silicate Cement by Eduardo R. Magdaluyo, Jr., Clodualdo M. Aranas, Jr., and Jovilyn D. Masiglat","Polyurethane from castor oil and toluene diisocyanate was activated in the presence of calcium silicate cement paste, with varying equivalent free isocyanate (NCO) to equivalent free hydroxyl (OH) moiety and cement to water ratio. It was shown that as the NCO/OH ratio and percent cement mixture were increased, the compressive strength and bulk density of the obtained polymer-modified calcium silicate cement materials improved significantly. The increase in the strength and density is explained by low porosity and the presence of polyurethane hard segments in the polymer structure. Moreover, the powder x-ray diffraction and surface morphology investigations of the castor oil-based polyurethane-reinforced cement composites revealed the interpenetration of the polymer macromolecules in the cementitious matrix. The Ca2+ from the portlandite phase was readily available to react with the hydroxyl groups from the polyurethane macromolecule and excess monomer resulting in calcium oxide-terminated diisocyanate. ","Calcium silicate, Castor oil, Composite, Polyurethane-reinforced cement ",,,,,
E2-0781AC,,,,,,,,"Development of Floor Tiles from Philippine Bamboos by Marina A. Alipon, Edna B. Bauza, and Gilberto N. Sapin ","The study determined and evaluated some important physical and mechanical properties of floor tiles from kauayan tinik (Bambusa blumeana J.A. & J.H. Schultes) and giant bamboo [Dendrocalamus asper (Schultes f.) Backer ex Heyne] glued with urea formaldehyde (UF) and polyvinyl acetate (PVAc) without and with preservative treatments (deltamethrin, borax and boric acid, and chlorpyrifos) as well as their comparative costs. Standard procedures were used to test and evaluate the properties of the bamboo floor tiles such as relative density (RD), moisture content (MC), hardness (H), thickness swelling (TS), abrasive resistance (AR), and glue bond (GB). Kauayan tinik and giant bamboo are both acceptable for flooring although the former has generally better properties than the latter. UF-glued kauayan tinik treated with either deltamethrin or borax and boric acid is preferred over the others in term of physical and mechanical properties, as well as cost of glue and preservative combinations. ","Bamboo floor tiles, Bambusa blumeana, Dendrocalamus asper, polyvinyl acetate, physical and mechanical properties, urea formaldehyde",,,,,
E2-0782AC,,,,,,,,"Evolutionary significant units of gray-sided vole (Myodes rufocanus) in Hokkaido, Japan by Anna Pauline O. de Guia and Takashi Saitoh ","The gray-sided vole, Myodes rufocanus (=Clethrionomys rufocanus) is a widespread species in Hokkaido, Japan. We applied an integrative approach to determine adaptive and neutral genetic variation in the gray-sided vole populations to identify full or partial Evolutionarily Significant Units. We surveyed 38 mainland populations and six island populations. The mitochondrial DNA control region was analyzed for neutral genetic variation and cranial measurements were taken as a proxy for adaptive variation. Data on neutral genetic variation indicate that most island populations are differentiated from the mainland populations. The islands of Teuri and Yagishiri, Rishir, and Kunashiri can be regarded as partial ESUs based on their unique haplotypes. Partial ESUs based on morphological features can be identified in the eastern part of mainland with populations from Akkeshi and Shibecha. A full ESU designation can be given to Daikoku Island based on its unique haplotype and unique morphological feature. ","Adaptive variation, ESU, Mitochondrial DNA, Morphometrics, Neutral genetic variation, Small mammal",,,,,
E2-0783AC,,,,,,,,"The effect of egg consumption on lipid profile among selected 30-60 year-old filipino adults by Celeste C. Tanchoco, Liza N. Infante, Marietta P. Rodriguez, Mina Grace C. Aquino and Consuelo L. Orense ","Egg a rich source of protein, contains vitamins and minerals. However, egg is also high in cholesterol. The objective of this study is to determine the effect of daily egg consumption on blood lipid profile of selected 30-60-year-old free-living Filipino adults. One hundred fifteen normocholesterolemic males and females in a cross-over study were randomly assigned to either an egg-eating regimen or a no egg-eating regimen for three months. After a two-week wash period, one regimen was exchanged for the other for another three months. Fasting venous blood samples were drawn to determine blood lipids before and after each period. The marginal means of serum cholesterol increased after the initial phase of intervention for both treatment groups, with cholesterol values higher for those who started with egg. Participants with normal weight who started with eggless diet exhibited higher serum cholesterol except in the final period, compared with those who started with egg. In the univariate analysis, age showed as the factor that influenced total cholesterol in the two study regimens. In both regimens, total cholesterol and LDL- cholesterol slightly increased. but HDL-cholesterol and triglycerides decreased. The GLM procedure revealed that the blood lipid levels were not significantly affected by treatment (egg or no egg), sequence (egg first or no-egg first) and time (egg eating or no-egg eating) factors. Consumption of up to one egg per day is unlikely to have substantial increase in blood lipid levels. ","Adults, age, cross-over design, HDL, LDL, regular egg consumption, sex, total cholesterol",,,,,
E2-0784AC,,,,,,,,"Selection of arbuscular mycorrhizal inoculants for improved growth of somatic embryo-derived Liriodendron tulipifera (Magnoliaceae) Plantlets by Nelly S. Aggangan, Yong-Wook Kim, Sim-Hee Han, So-Young Park, and Heung-Kyu Moon.","To select arbuscular mycorrhizal (AM) fungi for large scale inoculation programs, somatic embryo (SE) derived yellow poplar (Liriodendron tulipifera L.) plantlets were inoculated during ex-vitro, with spores of AM fungi Gigaspora margarita, Glomus macrocarpum, Glomus etunicatum, Glomus fasciculatum from the Philippines, Glomus intraradices from INVAM, USA and mixed species extracted from rhizosphere soil of a Populus stand in Suwon (AMKFRI) and Carex growing in mine tailings in Bonghwa (AMM6), Korea. AMKFRI consists of Glomus and Gigaspora while AMM6 had Glomus and Acaulospora. Plantlets were grown in autoclaved peat perlite vermiculite medium and incubated under growth room conditions for six weeks and later in a glasshouse. Generally, mycorrhizal plants grew better with greener and broader leaves than the non-mycorrhizal counterpart. After 14 weeks in a glasshouse, roots of all mycorrhizal seedlings were colonized with AM fungi where G. intraradices and G. margarita colonized 63 and 54%, respectively, of the root system. G. intraradices, G. margarita, G. macrocarpum and AMM6 increased the highest root and total dry weight but comparable with that by AMM6. G. fasciculatum inoculated plants had the highest P concentration and P, Zn and Cu uptakes. AMM6 promoted the highest N,K, Na and Mg uptakes. The results show that AM fungi, irrespective of origin (either from the Philippines, USA, and Korea), can establish a symbiotic association with SE-derived yellow poplar plantlets. However, capabilities in promoting plant growth, biomass and nutrient uptake differed. The Philippine G. fasciculatum and the Korean AMM6 are the most promising AM inoculants that can be used on SE-derived yellow poplar plantlets during ex-vitro. G. margarita, G. etunicatum. G. macrocarpum, G. intraradices and AMKFRI promoted an intermediate plant growth. Their effectiveness and persistence should be determined in degraded field conditions. ","Acaulospora, Gigaspora, Glomus, Liriodendron tulipifera, Somatic embryogenesis",,,,,
E2-0785AC,,,,,,,,"Structural characterization of Buri (Corypha utan Lam.) Petioles by Rosalie M. Calapis, Vivian C. Daracan, Stella Villa A. Castillo, Wilfredo M. Carandang and Willie P. Abasolo","Anatomical analysis was conducted on Buri (Corypha utan Lam.) petioles in order to generate baseline data about the anatomy of buri petioles where buntal fibers are extracted and to determine the origin of these fibers. It is with hope that this baseline data can contribute in maximizing its yield in terms of quality and quantity, and suggesting other usage of wasted buntal fibers such as in pulp and papermaking industry. Vascular bundle and ground parenchyma area percentages were analyzed using advanced digital imagery. Variation both along the length (base (B), middle (M), top (T) and across the radius (outer periphery (PO), core (C), inner periphery (PI)) of the petiole were considered in the evaluation. Fiber morphology was also conducted. Analysis showed that the petiole is made up of vascular bundles and ground parenchyma cells the proportion of which was highest at the middle and top portion, respectively. The bundle was actually the buntal fiber itself. Bundle diameter was highest at the basal portion while its element percentages were greatest in the middle portion. The structure of the bundle was unique because of the two fiber caps enveloping the other elements. This provided the vascular bundle enough strength and protection to withstand manual extraction including the weaving process. Considering both the quantity and quality of buntal, it is suggested that farmers can prioritize harvesting from the middle, basal and finally, the top portion. Fiber morphology values were highest in the outer periphery, but it varies along the height of the petiole. Furthermore, fiber characteristics showed acceptable values for pulp and paper manufacture; hence, the petiole itself together with the waste buntal could be best suited for this purpose to maximize its utility. ","Buntal fibers, Corypha utan, Fiber measurements, Ground parenchyma, Vascular bundle ",,,,,
